Trial Trove ID,NSCLC,citeline,Cancer_type,Histology,Stage,Stage,Stage_or_status,brain met,Age,BodyWeight(kg),ECOG,previous LOT indicator,previous LOT drug,Treatment-naïve,Previous radio/chemo-therapy,Previous targeted therapy,Previous IO-therapy,Treatment- resistancy,Surgery,Neo/Adjuvant therapy (4x),NGS/IHC/FISH,other_biomarker,Blood-test (normal organ function)-check list,Life expectancy,Contraception,HIV,Interstitial lung disesase,pneumonitis,previous therapy Toxicity recovery
263088,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",263088,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=8,,0-3,yes,standard care,,,,,Need prior standard care,-,,NTRK1/2/3 mutation,,"Adequate organ(renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium)",,,,,,Fully recovered AE
325157,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",325157,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=18,,0-1,yes,,,,,,"Progressed from prior IO or chemo, targeted (EGFR mt case)",,,"EGFR (mutant or WT), c-MET mutant",,,-,,,,,Grade =1 except alopecia
295866,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",295866,NSCLC,,"NSCLC (histology)(measurable CNS >10mm, CT or MRI)",,,,>=18,,0-2,No,,"Yes, treatment naïve ",,,,No prior systemic therapy,-,,ALK positive,,"Adequate organ (bone marrow, renal, liver, pancreatic) function, (AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium)",-,Yes,,,,Grade =1 except alopecia (from prior radiotherapy)
319940,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",319940,NSCLC,,Stage IB to IIIA,IB-IIIA,"IB, II, IIIA",,>=18,,0-2,No;except adju,,Yes. Adjuvant therapy,,,,,Resectable without margin,,ALK positive,,"Adequate organ(renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium)",,Yes,,,,
328695,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",328695,NSCLC,,"Stage IIIB to IV, locally advanced or metastatic",IIIB-IV,"IIIB, IIIC, IV",,>=18,,0-2,yes,,-,,Progressed on Crizotinib (at least 4w of treatment),,Resistant to Crizotinib,,Previous neo-/adjuvant therapy (1LOT) if tumor recurrent <12M,ALK positivity (by FISH or IHC),,"Adequate organ function, AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium",-,,,,,Grade =1 except alopecia
324107,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",324107,NSCLC,,"Stage III, advanced",III,III,,>=18,,0-1,yes,platium,,Must have concurrent or sequential platinum-based chemoradiation (<=6W) (at least 2 cycles),,,No disease progression from current chemo therapy,Unresectable,,"EGFR Mt (Ex19del, L858R) alone or in combination with other EGFR mutations",,"Adequate organ (bone marrow, renal, liver, pancreatic) function, (AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium)",>3M,Yes,,,,Grade =1 except alopecia
339347,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",339347,NSCLC,,"Stage IIIB to IV, locally advanced or metastatic",IIIB-IV,"IIIB, IIIC, IV",,>=18,,0-1,yes,chemo,-,No more than 1 line of chemotherapy,Progressed after Osimertinib,Prior IO is permittable,At least 1 but no more than 3 prior LOT,Not amenable to curative surgery,,"EGFR mt (Ex19del, L858R) and MET overepression ",,"Adequate organ(bone marrow, renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium, INR)",>3M,Yes,,,,Grade =1 except alopecia
307792,"Squamouse NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",307792,NSCLC,squamous cell,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=18,,0-1,yes,lot>2,,,,,Progressed after at least 2 LOT,,,,,Normal heart function (LVEF>50%),-,-,,,,Grade =1 except alopecia
280234,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",280234,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=18,,0-1,yes,lot=1,,,,,Failed 1st LOT (no more than 1 LOT),-,,Need genomic alteraton that can be targeted ,,"Adequate organ(renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium)",-,Yes,,,,Grade =1 except alopecia
349867,"NSCLC (histology)(measurable CNS >10mm, CT or MRI)",349867,NSCLC,,Stage IV with Brain metastases,IV,IV; and brainmet,,>=18,,0-2,null,,,WBRT or SRS for metastatic brain tumor,,,Progressed Brain met after surgery or Radiotherapy,Brain met Surgery or ,,"EGFR mt, presence of NTRK, ROS1, or CDK, PI3K pathway mutation in brain met and extracarnial site",,"Adequate organ(renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium)",-,Yes,,,,Grade =1 except alopecia
347265,"non-squamous NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",347265,NSCLC,"not (small cell carcinoma, squamous cell)","Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=18,,0-1,null,,-,Prior chemo-eligible,,Prior-IO-eligible,,Not amenable to curative surgery,,EGFR exon 19 del or L858R,,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium)",-,Yes,,,,Grade =1 except alopecia
317256,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",317256,NSCLC,,"Stage IV, metastatic",IV,IV,,>=18,,0-1,null,,For EGFR exon 19 del or L858R case,,No progression or complete response after 6-12w Osimertinib (in this study) treatment,,For EGFR T790M case-Progression on EGFR TKI,-,,"EGFR exon 19 del or L858R, T790M",,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium)",>3M,Yes,,,,Grade =1 except alopecia
261338,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",261338,NSCLC,,"Stage III and IV, metastatic","III, IV","III, IV",,>=18,,0-2,yes,lot=1,,,,,"Must have 1 prior LOT (either chemo, IO, or targeted)",Unresectable,,,,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",>4M,Yes,,,,Grade =1 except alopecia
342534,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",342534,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=18,,0-1,yes,chemo,,Progressed on Chemo,"EGFR, ALK, BRAFV600 therapy-in cae tumor has one of thouse mutation",Progressed on IO,Progressed on chemo and IO ,-,,FGFR 1-3 gene fusion/rearrangement,,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",-,-,,,,Grade =1 except alopecia
274693,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",274693,NSCLC,,"Stage III and IV, refractory (including brain leasons if not treated with WBRT/SRS)","III, IV, refractory","III, IV; refractory",,>=18,,0-2,yes,Alk inhibitor,,,"Progression after Alectinib (coholt B), progression after ALK TKIs except Alectinib and Brigatinib (Coholt A), No progression with Brigatinib for more than 4w (coholt C)",,Progresssed after NG ALK TKI's,-,,ALK rearrangement (FISH or IHC),,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",-,Yes,,,,Grade =1 except alopecia
324926,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",324926,NSCLC,,"Stage III and IV, advanced or refractory","III, IV, refractory","III, IV; refractory",,>=18,,,yes,"Alectinib, Ceritinib, Crizotinib",,,"Had been on one of Alectinib, Ceritinib, Crizotinib for 3M before progression",,Progresssed after Alectinib or Ceritinib (most recent ALK i),-,,ALK rearrangement (FISH or IHC),,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",>3M,Yes,,,,Grade =1 except alopecia
348972,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",348972,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=18,,0-1,yes,EGFR TKI,,,Must have 2 or more EGFR-TK with/without VEGF inhibitor,,"Acquired resistance (PR/SD then PD) on 3rd gneration EGFR-TKI's, ",-,,"EGFR mutation including T790M, MET amplification",,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",>3M,Yes,,,,
315085,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",315085,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=20,,0-1,null,,,,,,Refractory to standard treatment or no standard therapy available,Unresectable,,HER2 mt (coholt 2) or overexpression(IHC2+ or 3+) (coholt 1) (from tumor tissue),,,,,,,,
171302,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",171302,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=18,,0-1,null,,,,,,,Unresectable,,"RET (group A), ROS1 (group C), NTRK, MET, AXL (group B)",,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",-,Yes,,,,Grade =1 except alopecia
304543,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",304543,NSCLC,,Refractory,refractory,; refractory,,>=18,,0-1,null,,,,,,Must have exhaused or declined Prior Standard systemic therapy ,,,BAP1 and other known DNA damage repair gene mutation (check the list),,Adequate organ function,>=3M,Yes,,,,
277445,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",277445,NSCLC,,"Stage III, IV, advanced, recurrent, metastatic","III, IV, recurrent","III, IV; recurrent",,>=18,,0-1,yes,,,Must have Platinum based chemo,Prior MET inhibitor-most recent therapy,,Resistant to prior MET inhibitor,-,Previous neo-/adjuvant therapy can be counted as chemo if tumor recurrent <6M,MET exon 14 skipping,,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",-,Yes,,,,Grade =1 except alopecia
347563,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",347563,NSCLC,,"Stage IV, metastatic",IV,IV,,>=18,,0-1,null,,1) treatment-naive,2) 1st LOF platinum-based chemo,,3) 1st LOT IO,,-,,BRAFV600E,,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",,,,,,
324977,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",324977,NSCLC,,"Stage I-III, recurrent or Stage IIIB,C-IV ","IIIB-IV, recurrent","IIIB, IIIC, IV;  recurrent",,>=18,,0-1,yes,Platium,-,Progressed after a Platinum based chemo,,,Progressed after chemo,Not amenable to curative surgery (state IIIB-IV case),,EGFR exon20 (cohortA) or HER2 (cohort B),,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",,,,,,
332797,"NSCLC (histology)(measurable,CT or MRI, at least one, not irradiated previously, )",332797,NSCLC,,"Stage III, IV advanced","III, IV","III, IV",,>=18,,0-2,null,,-,,,,,Not amenable to curative surgery ,,EGFR exon 19 del or L858R,,"Adequate organ(bone marrow, renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium, INR)",>=3M,Yes,,,,Grade =1 except alopecia
309860,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",309860,NSCLC,,"Stage I-III, recurrent or Stage IIIB,C-IV ","IIIB-IV, recurrent","IIIB, IIIC, IV;  recurrent",,>=18,,0-2,null,NO TKI,"TKI-naive (except in the safety run group patients (n=6), if prior treatment is <3M)",,,,,-,"EGFR-TKI as adjuvant therapy without measurable size, if >6M before-permittable","EGFR sensitizing mutations (eg,EGFR exon 19 del or L858R)",,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",>=3M,Yes,,,,
327951,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",327951,NSCLC,,Stage IV,IV,IV,,>=18,,0-1,null,NO EGFR-TKI,EGFR-TKI naive,,,,,-,neo-/adjuvant therapy considered as treatment-naive if treated >6M ago,NGS EGFR exon 19 del or L858R,,"Adequate organ(bone marrow, renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium, INR)",-,Yes,,,,Grade =1 except alopecia
282816,"NSCLC (histology)(measurable,CT or MRI, at least one, smenable to SBRT )",282816,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV","III, IV",,>=18,,0-2,yes,,,or Chemo 1st LOT,Either targeted 1st LOT,,Progressed following standard systemic therapy,-,,,,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",-,,,,,Grade =1 except alopecia
318587,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",318587,NSCLC,,Stage IA-IIIA,IA-IIIA,"I, II, IIIA",,>=18,,0-1,no,,,,,,,Resectable,"This trial is ""Neoadjuvant study""","EGFR exon19del, L858R,or T790M",,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",-,Yes,,,,Grade =1 except alopecia
287608,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",287608,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV, recurrent","III, IV;  recurrent",,>=18,,0-1,yes,lot>=1,,,"If reveived MET or NTRK targeted therapy, need to submit tumor biopsy",,At least 1 prior LOT,-,,"MET exon14 (cohort1) or NTRK1,2,3(cohort2)",,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",-,Yes,,,,Grade =1 except alopecia
327280,"squamous NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",327280,NSCLC,squamous cell,Stage IB-IIIA,IB-IIIA,"IB, II, IIIA",,>=18,,0-1,no,,,,,,,Resectable/Operable,"This trial is ""Neoadjuvant study""",,,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",,Yes,,,,
218546,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",218546,NSCLC,,"Stage III and IV, locally advanced or metastatic","III, IV, recurrent","III, IV; recurrent",,>=18,,0-1,null,,,,,,,-,,"RET, VEGFR1-3, TP53, PDGFR-A/B, or FGFR1-3 (from cell free DNA)",,"Adequate organ(bone marrow, renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium, INR)",-,Yes,,,,Grade =1 except alopecia
321654,"squamous NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",321654,NSCLC,squamous cell,"Stage III and IV, relapsed,locally advanced, metastatic","III, IV, recurrent","III, IV; recurrent",,>=18,,0-1,yes,Platium,,must have platinum based chemo,"if eligible for TKI, shold have this",must have IO,"Must have disease progression, At least 1 but no more than 2 prior LOT",,,,,,,,,,,
333917,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",333917,NSCLC,,Stage IIA to III,IIA-III,"II, III",,>=18,,0-1,yes,Platium,,,,,Must completed previous standard systemic therapy and progressed ,-,,,,"Adequate organ(renal, liver, hematologic, coagulation) function, ( AST, ALT, WBC, NAC, INR, PTT, SGPT, platelets, Hg, Creatinine clearance CrCl >30ml/min, bilirubin, photassium, magnesium, phosphorus, calcium), LVEF>55%",-,Yes,,,,Grade =1 except alopecia
270639,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",270639,NSCLC,,"Stage III and IV, relapsed,","III, IV, recurrent","III, IV; recurrent",,>=18,,0-3,yes,lot>=2,,,,,"Progressed after at least 2 prior LOT, this trial is a salvage therapy",,,,,"Adequate organ(bone marrow, renal, liver, hematologic) function, ( AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, photassium, magnesium, phosphorus, calcium, INR)",>=3M,,,,,Grade =1 except alopecia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,